BusinessEntityID,DepartmentID,ShiftID,StartDate,EndDate,ModifiedDate
1,16,1,1/14/2009,NULL,00:00.0
2,1,1,1/31/2008,NULL,00:00.0
3,1,1,11/11/2007,NULL,00:00.0
4,1,1,12/5/2007,5/30/2010,00:00.0
4,2,1,5/31/2010,NULL,00:00.0
5,1,1,1/6/2008,NULL,00:00.0
6,1,1,1/24/2008,NULL,00:00.0
7,6,1,2/8/2009,NULL,00:00.0
8,6,1,12/29/2008,NULL,00:00.0
9,6,1,1/16/2009,NULL,00:00.0
10,6,1,5/3/2009,NULL,00:00.0
11,2,1,12/5/2010,NULL,00:00.0
12,2,1,12/11/2007,NULL,00:00.0
13,2,1,12/23/2010,NULL,00:00.0
14,1,1,12/30/2010,NULL,00:00.0
15,1,1,1/18/2011,NULL,00:00.0
16,5,1,12/20/2007,7/14/2009,00:00.0
16,4,1,7/15/2009,NULL,00:00.0
17,4,1,1/26/2007,NULL,00:00.0
18,4,1,2/7/2011,NULL,00:00.0
19,4,1,2/14/2011,NULL,00:00.0
20,4,1,1/7/2011,NULL,00:00.0
21,4,1,3/2/2009,NULL,00:00.0
22,4,1,12/12/2008,NULL,00:00.0
23,4,1,1/12/2009,NULL,00:00.0
24,4,1,1/18/2009,NULL,00:00.0
25,7,1,2/3/2009,NULL,00:00.0
26,8,1,12/1/2008,NULL,00:00.0
27,7,1,2/27/2008,NULL,00:00.0
28,7,1,6/30/2006,NULL,00:00.0
29,7,1,1/23/2009,NULL,00:00.0
30,7,1,1/29/2009,NULL,00:00.0
31,7,1,1/4/2009,NULL,00:00.0
32,7,1,12/29/2008,NULL,00:00.0
33,7,1,12/17/2008,NULL,00:00.0
34,7,1,2/16/2009,NULL,00:00.0
35,7,1,2/8/2009,NULL,00:00.0
36,7,1,2/10/2009,NULL,00:00.0
37,7,1,3/7/2009,NULL,00:00.0
38,7,1,1/16/2010,NULL,00:00.0
39,7,1,2/5/2010,NULL,00:00.0
40,7,3,12/26/2007,NULL,00:00.0
41,7,3,1/21/2009,NULL,00:00.0
42,7,3,12/27/2008,NULL,00:00.0
43,7,3,1/2/2009,NULL,00:00.0
44,7,3,12/8/2008,NULL,00:00.0
45,7,3,2/26/2009,NULL,00:00.0
46,7,3,2/8/2009,NULL,00:00.0
47,7,1,2/22/2009,NULL,00:00.0
48,7,1,1/6/2008,NULL,00:00.0
49,7,1,1/7/2008,NULL,00:00.0
50,7,1,2/2/2008,NULL,00:00.0
51,7,1,2/20/2008,NULL,00:00.0
52,7,1,3/10/2008,NULL,00:00.0
53,7,1,3/28/2008,NULL,00:00.0
54,7,1,1/1/2010,NULL,00:00.0
55,7,3,2/8/2008,NULL,00:00.0
56,7,3,2/5/2009,NULL,00:00.0
57,7,3,2/23/2009,NULL,00:00.0
58,7,3,12/5/2008,NULL,00:00.0
59,7,3,12/24/2008,NULL,00:00.0
60,7,3,1/11/2009,NULL,00:00.0
61,7,3,1/18/2009,NULL,00:00.0
62,7,2,3/17/2008,NULL,00:00.0
63,7,2,1/29/2010,NULL,00:00.0
64,7,2,2/23/2010,NULL,00:00.0
65,7,2,2/23/2010,NULL,00:00.0
66,7,2,12/22/2009,NULL,00:00.0
67,7,2,3/5/2009,NULL,00:00.0
68,7,2,12/3/2009,NULL,00:00.0
69,7,2,2/15/2009,NULL,00:00.0
70,7,2,12/15/2008,NULL,00:00.0
71,7,3,2/15/2009,NULL,00:00.0
72,7,3,12/1/2008,NULL,00:00.0
73,7,3,12/19/2008,NULL,00:00.0
74,7,3,1/7/2009,NULL,00:00.0
75,7,3,1/26/2009,NULL,00:00.0
76,7,3,2/12/2009,NULL,00:00.0
77,7,3,3/3/2009,NULL,00:00.0
78,7,2,12/15/2008,NULL,00:00.0
79,7,2,1/24/2010,NULL,00:00.0
80,7,2,1/17/2010,NULL,00:00.0
81,7,2,12/29/2009,NULL,00:00.0
82,7,2,3/3/2010,NULL,00:00.0
83,7,2,2/12/2010,NULL,00:00.0
84,7,2,2/5/2010,NULL,00:00.0
85,7,2,12/11/2009,NULL,00:00.0
86,7,2,1/5/2009,NULL,00:00.0
87,7,3,12/22/2008,NULL,00:00.0
88,7,3,12/18/2009,NULL,00:00.0
89,7,3,2/1/2010,NULL,00:00.0
90,7,3,2/20/2010,NULL,00:00.0
91,7,3,1/12/2010,NULL,00:00.0
92,7,3,3/10/2010,NULL,00:00.0
93,7,2,12/27/2008,NULL,00:00.0
94,7,2,12/12/2008,NULL,00:00.0
95,7,2,12/19/2008,NULL,00:00.0
96,7,2,3/2/2009,NULL,00:00.0
97,7,2,2/10/2009,NULL,00:00.0
98,7,2,2/11/2009,NULL,00:00.0
