BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
1,00:00.0,125.5,2,00:00.0
2,00:00.0,63.4615,2,00:00.0
3,00:00.0,43.2692,2,00:00.0
4,00:00.0,8.62,2,00:00.0
4,00:00.0,23.72,2,00:00.0
4,00:00.0,29.8462,2,00:00.0
5,00:00.0,32.6923,2,00:00.0
6,00:00.0,32.6923,2,00:00.0
7,00:00.0,50.4808,2,00:00.0
8,00:00.0,40.8654,2,00:00.0
9,00:00.0,40.8654,2,00:00.0
10,00:00.0,42.4808,2,00:00.0
11,00:00.0,28.8462,2,00:00.0
12,00:00.0,25,2,00:00.0
13,00:00.0,25,2,00:00.0
14,00:00.0,36.0577,2,00:00.0
15,00:00.0,32.6923,2,00:00.0
16,00:00.0,24,2,00:00.0
16,00:00.0,28.75,2,00:00.0
16,00:00.0,37.5,2,00:00.0
17,00:00.0,13.4615,2,00:00.0
18,00:00.0,14.4231,2,00:00.0
19,00:00.0,13.4615,2,00:00.0
20,00:00.0,13.4615,2,00:00.0
21,00:00.0,14.4231,2,00:00.0
22,00:00.0,14.4231,2,00:00.0
23,00:00.0,14.4231,2,00:00.0
24,00:00.0,14.4231,2,00:00.0
25,00:00.0,84.1346,2,00:00.0
26,00:00.0,24.5192,2,00:00.0
27,00:00.0,25,2,00:00.0
28,00:00.0,12.45,1,00:00.0
29,00:00.0,12.45,1,00:00.0
30,00:00.0,12.45,1,00:00.0
31,00:00.0,12.45,1,00:00.0
32,00:00.0,12.45,1,00:00.0
33,00:00.0,12.45,1,00:00.0
34,00:00.0,12.45,1,00:00.0
35,00:00.0,12.45,1,00:00.0
36,00:00.0,12.45,1,00:00.0
37,00:00.0,12.45,1,00:00.0
38,00:00.0,12.45,1,00:00.0
39,00:00.0,12.45,1,00:00.0
40,00:00.0,25,2,00:00.0
41,00:00.0,12.45,1,00:00.0
42,00:00.0,12.45,1,00:00.0
43,00:00.0,12.45,1,00:00.0
44,00:00.0,12.45,1,00:00.0
45,00:00.0,12.45,1,00:00.0
46,00:00.0,12.45,1,00:00.0
47,00:00.0,25,2,00:00.0
48,00:00.0,13.45,1,00:00.0
49,00:00.0,13.45,1,00:00.0
50,00:00.0,13.45,1,00:00.0
51,00:00.0,13.45,1,00:00.0
52,00:00.0,13.45,1,00:00.0
53,00:00.0,13.45,1,00:00.0
54,00:00.0,13.45,1,00:00.0
55,00:00.0,25,2,00:00.0
56,00:00.0,11,1,00:00.0
57,00:00.0,11,1,00:00.0
58,00:00.0,11,1,00:00.0
59,00:00.0,11,1,00:00.0
60,00:00.0,11,1,00:00.0
61,00:00.0,11,1,00:00.0
62,00:00.0,25,2,00:00.0
63,00:00.0,12.45,1,00:00.0
64,00:00.0,12.45,1,00:00.0
65,00:00.0,12.45,1,00:00.0
66,00:00.0,12.45,1,00:00.0
67,00:00.0,12.45,1,00:00.0
68,00:00.0,12.45,1,00:00.0
69,00:00.0,12.45,1,00:00.0
70,00:00.0,12.45,1,00:00.0
71,00:00.0,25,2,00:00.0
72,00:00.0,9.5,1,00:00.0
73,00:00.0,9.5,1,00:00.0
74,00:00.0,9.5,1,00:00.0
75,00:00.0,9.5,1,00:00.0
76,00:00.0,9.5,1,00:00.0
77,00:00.0,9.5,1,00:00.0
78,00:00.0,25,2,00:00.0
79,00:00.0,15,1,00:00.0
80,00:00.0,15,1,00:00.0
81,00:00.0,15,1,00:00.0
82,00:00.0,15,1,00:00.0
83,00:00.0,15,1,00:00.0
84,00:00.0,15,1,00:00.0
85,00:00.0,15,1,00:00.0
86,00:00.0,15,1,00:00.0
87,00:00.0,25,2,00:00.0
88,00:00.0,13.45,1,00:00.0
89,00:00.0,13.45,1,00:00.0
90,00:00.0,13.45,1,00:00.0
91,00:00.0,13.45,1,00:00.0
92,00:00.0,13.45,1,00:00.0
93,00:00.0,25,2,00:00.0
94,00:00.0,11,1,00:00.0
95,00:00.0,11,1,00:00.0
96,00:00.0,11,1,00:00.0
